team,name,display-name,image-url,role
Real Madrid,Antonio Rüdiger,Rüdiger,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250028211.jpg,outfield
Real Madrid,Ferland Mendy,Mendy,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250112803.jpg,outfield
Real Madrid,Dean Huijsen,Huijsen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250194474.jpg,outfield
Real Madrid,Diego Aguado,Aguado,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250193232.jpg,outfield
Real Madrid,Jesus Fortea,Fortea,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250179703.jpg,outfield
Real Madrid,David Jiménez,Jiménez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164220.jpg,outfield
Real Madrid,Joan Martínez,Martínez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250191276.jpg,outfield
Real Madrid,Victor Valdepeñas,Valdepeñas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201436.jpg,outfield
Real Madrid,Mario Rivas,Rivas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250193666.jpg,outfield
Real Madrid,Jude Bellingham,Bellingham,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250128377.jpg,outfield
Real Madrid,Eduardo Camavinga,Camavinga,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250128270.jpg,outfield
Real Madrid,Federico Valverde,Valverde,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101284.jpg,outfield
Real Madrid,Aurélien Tchouaméni,Tchouaméni,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250105244.jpg,outfield
Real Madrid,Arda Güler,Güler,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250161881.jpg,outfield
Real Madrid,Dani Ceballos,Ceballos,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250086709.jpg,outfield
Real Madrid,Jorge Cestero,Cestero,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189623.jpg,outfield
Real Madrid,Pol Fortuny,Fortuny,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172342.jpg,outfield
Real Madrid,Manuel Ángel,Ángel,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139253.jpg,outfield
Real Madrid,César Palacios,Palacios,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169885.jpg,outfield
Real Madrid,Cristian Perea,Perea,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176529.jpg,outfield
Real Madrid,Hugo de Llanos,Llanos,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176534.jpg,outfield
Real Madrid,Thiago Pitarch,Thiago,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250205688.jpg,outfield
Real Madrid,Daniel Meso,Meso,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176530.jpg,outfield
Real Madrid,Vinícius Júnior,Vinícius,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121533.jpg,outfield
Real Madrid,Kylian Mbappé,Mbappé,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250076574.jpg,outfield
Real Madrid,Rodrygo,Rodrygo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250132829.jpg,outfield
Real Madrid,Gonzalo,Gonzalo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164226.jpg,outfield
Real Madrid,Brahim Díaz,Brahim,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250088039.jpg,outfield
Real Madrid,Franco Mastantuono,Mastantuono,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250210290.jpg,outfield
Real Madrid,Daniel Yañez,Yañez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189858.jpg,outfield
Netherlands,Kjell Scherpen,Scherpen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250123304.jpg,goalkeeper
Netherlands,Bart Verbruggen,Verbruggen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250160574.jpg,goalkeeper
Netherlands,Robin Roefs,Roefs,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250128450.jpg,goalkeeper
Netherlands,Nick Olij,Olij,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250046909.jpg,goalkeeper
Netherlands,Mark Flekken,Flekken,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250167143.jpg,goalkeeper
Netherlands,Lutsharel Geertruida,Geertruida,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250104075.jpg,outfield
Netherlands,Jurriën Timber,J. Timber,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250101728.jpg,outfield
Netherlands,Virgil van Dijk,van Dijk,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327420.jpg,outfield
Netherlands,Nathan Aké,Aké,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250027008.jpg,outfield
Netherlands,Stefan de Vrij,de Vrij,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327428.jpg,outfield
Netherlands,Matthijs de Ligt,de Ligt,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327424.jpg,outfield
Netherlands,Jeremie Frimpong,Frimpong,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250113276.jpg,outfield
Netherlands,Jan Paul van Hecke,van Hecke,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250171264.jpg,outfield
Netherlands,Micky van de Ven,van de Ven,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327427.jpg,outfield
Netherlands,Jorrel Hato,Hato,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250164725.jpg,outfield
Netherlands,Quilindschy Hartman,Hartman,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250147956.jpg,outfield
Netherlands,Denzel Dumfries,Dumfries,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250112690.jpg,outfield
Netherlands,Xavi Simons,Simons,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250128451.jpg,outfield
Netherlands,Ryan Gravenberch,Gravenberch,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250113001.jpg,outfield
Netherlands,Quinten Timber,Q. Timber,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250101727.jpg,outfield
Netherlands,Tijjani Reijnders,Reijnders,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250121294.jpg,outfield
Netherlands,Jerdy Schouten,Schouten,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250172787.jpg,outfield
Netherlands,Sem Steijn,Steijn,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250174850.jpg,outfield
Netherlands,Mats Wieffer,Wieffer,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250177878.jpg,outfield
Netherlands,Teun Koopmeiners,Koopmeiners,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250081553.jpg,outfield
Netherlands,Frenkie de Jong,de Jong,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327423.jpg,outfield
Netherlands,Luciano Valente,Valente,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250208803.jpg,outfield
Netherlands,Emmanuel Emegha,Emegha,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250167011.jpg,outfield
Netherlands,Wout Weghorst,Weghorst,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250078682.jpg,outfield
Netherlands,Memphis Depay,Depay,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250024860.jpg,outfield
Netherlands,Cody Gakpo,Gakpo,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250096849.jpg,outfield
Netherlands,Noa Lang,Lang,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250091165.jpg,outfield
Netherlands,Donyell Malen,Malen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250081555.jpg,outfield
